IdTeam,TeamName,Gender,IdConfederation,RankingMovement,ConfederationName,IdCountry,RatedMatches,Rank,PrevRank,TotalPoints,PrevPoints,RankingStatus,Properties,IsUpdateable
43922,"Argentina",1,23915,2,CONMEBOL,ARG,60,1,3,1877.266571,1874.814835,0,,
43969,"Espanha",1,27275,0,UEFA,ESP,57,2,2,1874.710778,1876.395199,0,,
43946,"França",1,27275,-2,UEFA,FRA,58,3,1,1870.696162,1877.322731,0,,
43942,"Inglaterra",1,27275,0,UEFA,ENG,58,4,4,1828.021903,1825.965482,0,,
43963,"Portugal",1,27275,0,UEFA,POR,57,5,5,1767.849031,1763.834406,0,,
43924,"Brasil",1,23915,0,CONMEBOL,BRA,55,6,6,1765.856297,1761.16093,0,,
43872,"Marrocos",1,23913,1,CAF,MAR,87,7,8,1755.100232,1755.86841,0,,
43960,"Holanda",1,27275,-1,UEFA,NED,57,8,7,1753.571899,1757.874428,0,,
43935,"Bélgica",1,27275,0,UEFA,BEL,54,9,9,1742.235945,1734.714832,0,,
43948,"Alemanha",1,27275,0,UEFA,GER,55,10,10,1735.771984,1730.37136,0,,
43938,"Croácia",1,27275,0,UEFA,CRO,57,11,11,1714.865572,1717.066402,0,,
43954,"Itália",1,27275,0,UEFA,ITA,53,12,12,1704.733836,1700.370754,0,,
43926,"Colômbia",1,23915,0,CONMEBOL,COL,57,13,13,1698.351858,1693.089319,0,,
43911,"México",1,23914,1,CONCACAF,MEX,83,14,15,1687.481759,1681.028247,0,,
43879,"Senegal",1,23913,-1,CAF,SEN,86,15,14,1684.069879,1688.988837,0,,
43930,"Uruguai",1,23915,1,CONMEBOL,URU,52,16,17,1673.068603,1673.068603,0,,
43921,"EUA",1,23914,-1,CONCACAF,USA,75,17,16,1671.2341,1673.126608,0,,
43819,"Japão",1,25998,0,AFC,JPN,64,18,18,1661.576187,1660.427891,0,,
43971,"Suíça",1,27275,0,UEFA,SUI,56,19,19,1650.064179,1649.39683,0,,
43817,"RI do Irã",1,25998,1,AFC,IRN,56,20,21,1619.58163,1615.300338,0,,
43941,"Dinamarca",1,27275,-1,UEFA,DEN,52,21,20,1619.474248,1620.807946,0,,
43972,"Turquia",1,27275,0,UEFA,TUR,53,22,22,1605.730921,1599.03767,0,,
43927,"Equador",1,23915,0,CONMEBOL,ECU,59,23,23,1598.51582,1594.78386,0,,
43934,"Áustria",1,27275,0,UEFA,AUT,51,24,24,1597.404087,1593.447673,0,,
43822,"República da Coreia",1,25998,0,AFC,KOR,68,25,25,1591.630886,1588.663904,0,,
43876,"Nigéria",1,23913,0,CAF,NGA,74,26,26,1585.017102,1585.086373,0,,
43976,"Austrália",1,25998,0,AFC,AUS,55,27,27,1579.34264,1580.674774,0,,
43843,"Argélia",1,23913,0,CAF,ALG,82,28,28,1571.033293,1564.2567,0,,
43855,"Egito",1,23913,0,CAF,EGY,74,29,29,1562.367246,1563.241764,0,,
43899,"Canadá",1,23914,0,CONCACAF,CAN,62,30,30,1559.479301,1556.482247,0,,
43961,"Noruega",1,27275,0,UEFA,NOR,48,31,31,1557.437664,1550.943159,0,,
43973,"Ucrânia",1,27275,0,UEFA,UKR,47,32,32,1549.287173,1546.877672,0,,
43854,"Costa do Marfim",1,23913,1,CAF,CIV,68,33,34,1540.869533,1532.975251,0,,
43914,"Panamá",1,23914,-1,CONCACAF,PAN,68,34,33,1539.155509,1540.644228,0,,
43965,"Rússia",1,27275,1,UEFA,RUS,31,35,36,1529.602834,1525.604093,0,,
43962,"Polônia",1,27275,-1,UEFA,POL,54,36,35,1526.183359,1528.003812,0,,
43974,"País de Gales",1,27275,0,UEFA,WAL,50,37,37,1516.946629,1524.290508,0,,
43970,"Suécia",1,27275,0,UEFA,SWE,51,38,38,1509.785392,1514.767421,0,,
43950,"Hungria",1,27275,3,UEFA,HUN,51,39,42,1506.393663,1500.581454,0,,
43995,"Tchéquia",1,27275,1,UEFA,CZE,51,40,41,1505.737856,1501.3824,0,,
43928,"Paraguai",1,23915,-1,CONMEBOL,PAR,49,41,40,1505.349689,1503.503339,0,,
43967,"Escócia",1,27275,1,UEFA,SCO,51,42,43,1503.34027,1498.350389,0,,
1902465,"Sérvia",1,27275,-4,UEFA,SRB,54,43,39,1502.133186,1508.650488,0,,
43849,"Camarões",1,23913,1,CAF,CMR,63,44,45,1481.235245,1481.235245,0,,
43888,"Tunísia",1,23913,-1,CAF,TUN,70,45,44,1476.405088,1483.051871,0,,
20014,"RD do Congo",1,23913,0,CAF,COD,63,46,46,1474.427761,1478.350424,0,,
44002,"Eslováquia",1,27275,1,UEFA,SVK,52,47,48,1473.660727,1473.938441,0,,
43949,"Grécia",1,27275,-1,UEFA,GRE,48,48,47,1473.187305,1475.819913,0,,
43931,"Venezuela",1,23915,0,CONMEBOL,VEN,52,49,49,1469.177672,1468.046323,0,,
44005,"Uzbequistão",1,25998,0,AFC,UZB,53,50,50,1458.734068,1465.342534,0,,
43925,"Chile",1,23915,3,CONMEBOL,CHI,54,51,54,1458.196344,1455.283124,0,,
43929,"Peru",1,23915,1,CONMEBOL,PER,53,52,53,1457.692964,1455.872645,0,,
43901,"Costa Rica",1,23914,-2,CONCACAF,CRC,61,53,51,1456.029055,1459.903309,0,,
43964,"Romênia",1,27275,2,UEFA,ROU,52,54,56,1455.894657,1451.161007,0,,
43869,"Mali",1,23913,-3,CAF,MLI,61,55,52,1455.586659,1459.125074,0,,
43834,"Catar",1,25998,-1,AFC,QAT,71,56,55,1450.307729,1454.958587,0,,
43818,"Iraque",1,25998,0,AFC,IRQ,66,57,57,1446.279605,1447.135319,0,,
43953,"República da Irlanda",1,27275,1,UEFA,IRL,49,58,59,1441.096901,1436.630274,0,,
43968,"Eslovênia",1,27275,-1,UEFA,SVN,52,59,58,1441.087158,1446.439067,0,,
43883,"África do Sul",1,23913,0,CAF,RSA,74,60,60,1428.379282,1429.728396,0,,
43835,"Arábia Saudita",1,25998,0,AFC,KSA,76,61,61,1423.881229,1421.427596,0,,
43847,"Burkina Faso",1,23913,0,CAF,BFA,67,62,62,1406.990543,1412.494766,0,,
43820,"Jordânia",1,25998,0,AFC,JOR,62,63,63,1387.738222,1391.4544,0,,
44037,"Bósnia e Herzegovina",1,27275,1,UEFA,BIH,46,64,65,1387.215771,1385.838723,0,,
43909,"Honduras",1,23914,1,CONCACAF,HON,61,65,66,1378.970301,1380.273797,0,,
43932,"Albânia",1,27275,-2,UEFA,ALB,50,66,64,1376.033234,1388.058361,0,,
43850,"Cabo Verde",1,23913,2,CAF,CPV,55,67,69,1371.10798,1366.125478,0,,
43840,"Emirados Árabes Unidos",1,25998,0,AFC,UAE,62,68,68,1370.469434,1370.469434,0,,
44000,"Macedônia do Norte",1,27275,-2,UEFA,MKD,48,69,67,1369.159317,1372.043897,0,,
43952,"Irlanda do Norte",1,27275,0,UEFA,NIR,46,70,70,1365.296485,1362.157683,0,,
43910,"Jamaica",1,23914,0,CONCACAF,JAM,67,71,71,1357.840144,1357.996558,0,,
43947,"Geórgia",1,27275,0,UEFA,GEO,50,72,72,1355.261687,1350.184155,0,,
43860,"Gana",1,23913,1,CAF,GHA,66,73,74,1346.881205,1346.311722,0,,
43951,"Islândia",1,27275,1,UEFA,ISL,57,74,75,1342.771961,1345.068497,0,,
43945,"Finlândia",1,27275,-2,UEFA,FIN,50,75,73,1341.922408,1346.408799,0,,
43984,"Israel",1,27275,1,UEFA,ISR,44,76,77,1333.904007,1328.333496,0,,
43923,"Bolívia",1,23915,-1,CONMEBOL,BOL,53,77,76,1325.995377,1329.415509,0,,
1942535,"Kosovo",1,27275,0,UEFA,KOS,47,78,78,1319.120924,1318.82527,0,,
43831,"Omã",1,25998,0,AFC,OMA,69,79,79,1306.901717,1313.464945,0,,
1903356,"Montenegro",1,27275,1,UEFA,MNE,48,80,81,1301.977191,1295.518644,0,,
43861,"Guiné",1,23913,-1,CAF,GUI,60,81,80,1295.598845,1300.00536,0,,
1895293,"Curaçau",1,23914,0,CONCACAF,CUW,36,82,82,1294.76909,1294.652918,0,,
43908,"Haiti",1,23914,0,CONCACAF,HAI,36,83,83,1293.096585,1291.711814,0,,
43838,"Síria",1,25998,0,AFC,SYR,50,84,84,1283.051902,1288.556135,0,,
43978,"Nova Zelândia",1,23916,0,OFC,NZL,47,85,85,1275.581062,1281.566939,0,,
43858,"Gabão",1,23913,1,CAF,GAB,45,86,87,1272.508139,1272.508139,0,,
43936,"Bulgária",1,27275,-1,UEFA,BUL,48,87,86,1271.683325,1278.904375,0,,
43844,"Angola",1,23913,1,CAF,ANG,69,88,89,1265.575056,1263.096811,0,,
43889,"Uganda",1,23913,-1,CAF,UGA,58,89,88,1264.090591,1264.090591,0,,
43891,"Zâmbia",1,23913,2,CAF,ZAM,61,90,92,1255.821846,1255.821846,0,,
43812,"RP da China",1,25998,3,AFC,CHN,47,91,94,1254.8091,1251.597821,0,,
43808,"Bahrein",1,25998,-1,AFC,BHR,63,92,91,1254.406799,1258.527492,0,,
43845,"Benin",1,23913,-3,CAF,BEN,48,93,90,1252.170944,1258.980021,0,,
43839,"Tailândia",1,25998,-1,AFC,THA,72,94,93,1250.803064,1252.138301,0,,
43989,"Palestina",1,25998,0,AFC,PLE,39,95,95,1243.713925,1244.728802,0,,
43937,"Belarus",1,27275,1,UEFA,BLR,48,96,97,1242.876029,1235.820374,0,,
43906,"Guatemala",1,23914,-1,CONCACAF,GUA,54,97,96,1238.74375,1243.474984,0,,
43958,"Luxemburgo",1,27275,0,UEFA,LUX,48,98,98,1232.81815,1227.765462,0,,
43841,"Vietnã",1,25998,0,AFC,VIE,59,99,99,1225.67943,1225.67943,0,,
43904,"El Salvador",1,23914,0,CONCACAF,SLV,55,100,100,1225.344607,1225.25876,0,,
44003,"Tadjiquistão",1,25998,2,AFC,TJK,46,101,103,1224.190098,1221.78095,0,,
43920,"Trinidad e Tobago",1,23914,0,CONCACAF,TRI,48,102,102,1219.58613,1222.93812,0,,
43873,"Moçambique",1,23913,-2,CAF,MOZ,61,103,101,1218.616571,1224.311107,0,,
43867,"Madagascar",1,23913,0,CAF,MAD,59,104,104,1202.689766,1203.76261,0,,
43856,"Guiné Equatorial",1,23913,0,CAF,EQG,54,105,105,1195.197081,1195.197081,0,,
43999,"República Quirguiz",1,25998,1,AFC,KGZ,40,106,107,1192.157969,1191.143092,0,,
43933,"Armênia",1,27275,-1,UEFA,ARM,47,107,106,1189.632762,1191.416122,0,,
1896913,"Comores",1,23913,1,CAF,COM,62,108,109,1187.9109,1187.9109,0,,
43863,"Quênia",1,23913,2,CAF,KEN,46,109,111,1185.076631,1182.230045,0,,
43866,"Líbia",1,23913,2,CAF,LBY,46,110,112,1182.081264,1182.081264,0,,
44027,"Cazaquistão",1,27275,-1,UEFA,KAZ,49,111,110,1180.780449,1182.957166,0,,
43886,"Tanzânia",1,23913,1,CAF,TAN,54,112,113,1180.267847,1180.267847,0,,
43870,"Mauritânia",1,23913,2,CAF,MTN,66,113,115,1176.680994,1170.719266,0,,
43875,"Níger",1,23913,0,CAF,NIG,54,114,114,1175.332063,1179.66151,0,,
43825,"Líbano",1,25998,-7,AFC,LBN,47,115,108,1172.215162,1187.960362,0,,
43859,"Gâmbia",1,23913,0,CAF,GAM,48,116,116,1159.637808,1160.380685,0,,
43884,"Sudão",1,23913,0,CAF,SDN,61,117,117,1157.223901,1157.223901,0,,
